,asset_returns,asset_returns,asset_returns,asset_returns,signals,signals,signals,signals,positions,positions,positions,positions,weights,weights,weights,weights,results,results,results,results,results
,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,BRL,AUD,BCOM,XAU,strategy_return,nav,pnl,gross_leverage,active_signals
Dates,,,,,,,,,,,,,,,,,,,,,
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-02,0.0034076865538157364,0.009072837897734054,0.009549236072345924,-0.0007169743681663121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-03,0.005389418670015855,-0.00038201215251199017,-0.002865932011993255,-0.0010762331838565231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-04,-0.01578540155103736,0.011512680459867974,0.02031220885926932,0.0017956545160711102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-07,0.0034822412859520924,-0.0031909684009878703,0.010009141967316504,-0.0007169743681663121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-08,-0.017724119429719076,0.010051240062333155,-0.0031203410071490856,0.0010762331838565231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-09,0.0005825648012478535,0.00119372776469584,-0.005856190977860054,0.017559577136713855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-10,-0.020609333875775238,-0.003817202616017812,-0.001841932477770647,0.008452192287374594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-11,0.010689996460687023,-0.0047167028700048075,-0.0033097759881444144,0.004190675746464034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-14,0.003615112175421098,-0.004758812628173792,-0.010186320943783023,-0.009041905755520885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-15,0.009308185561970106,0.0018104577758366602,0.001396782850746181,-0.0010528162835585775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-16,0.0052115031900401565,-0.006105857766011691,0.009538940147305164,0.008782715615668346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-17,-0.009032432115176792,-0.0014580863314708203,-0.019072107248915282,-0.010795751349468752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-18,0.010212023129795966,9.317692034160885e-06,-0.007235018968570595,-0.0017602534765006617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-21,-0.0034498258115679414,0.004930344245580143,0.0,-0.003526714865103142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-22,-0.0023150704584417037,0.004715419155727929,-0.006607090536185134,-0.001946558131304288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-23,-0.0015342024733453474,0.0006473046550565797,0.004780395613470878,-0.009751773049645363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-24,-0.0022017462697238033,7.3779249849526e-05,0.003895087786246698,-0.0009668755595344525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-25,-0.005858665154753084,-0.005309079316064169,0.0012775801552216137,0.0016847085812601303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-28,-0.005107711076943744,-0.0007721373636343509,-0.010561406779832416,-0.002862766147790352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-29,-0.005004797970783792,-0.008645873096661982,-0.0025609764403790036,0.011483940427059247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-30,0.002430045192720609,-0.01087251534546163,-0.005687081890792478,0.00017739932588245466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-01-31,0.009532410828380744,0.0019788891457119817,0.010791371023772367,0.0023057821922669586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
2002-02-01,0.0033521778207821207,0.0048038981589777485,0.014587431164922338,0.013095027428773554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0
