Metric,100% 60/40,100% trend,90% 60/40 + 10% trend,static MV,dynamic MV
Start date,2002-01-02,2002-01-02,2002-01-02,2002-01-02,2002-01-02
End date,2026-04-20,2026-04-20,2026-04-20,2026-04-20,2026-04-20
Initial AUM,"$100,000,000","$100,000,000","$100,000,000","$100,000,000","$100,000,000"
Ending NAV,"$602,519,538","$283,449,790","$567,914,149","$413,197,949","$561,254,690"
Total return,502.04%,183.45%,467.51%,313.05%,460.85%
Annual rate of return,7.67%,4.38%,7.41%,6.01%,7.36%
Annualized volatility,10.87%,7.08%,9.92%,6.69%,7.95%
"Sharpe ratio, rf=0",0.71,0.62,0.75,0.90,0.93
Maximum drawdown,-32.68%,-15.93%,-29.73%,-19.41%,-18.33%
Maximum drawdown start,2007-10-09,2008-07-14,2007-10-31,2008-05-16,2008-05-16
Maximum drawdown end,2009-03-09,2009-01-14,2009-03-09,2009-03-09,2009-03-09
Weights (w_T / w_B),0% / 100%,100% / 0%,10% / 90%,56% / 44%,—
