horizon,comparator,condition,n_windows,risk_adjusted_n_windows,outright_win_rate,risk_adjusted_win_rate,median_active_return,average_active_return
month,equity,equity_return < 0,97,87,0.8350515463917526,0.6206896551724138,0.027101792495377697,0.03502106391322739
month,equity,bond_return < 0,129,121,0.32558139534883723,0.3140495867768595,-0.01127165867915747,-0.008672523092098872
month,equity,equity_return < 0 and bond_return < 0,38,36,0.7894736842105263,0.5277777777777778,0.0266126552194918,0.032265116126196626
month,bond,equity_return < 0,97,87,0.3711340206185567,0.3793103448275862,-0.011000162490410248,-0.008086327342327412
month,bond,bond_return < 0,129,121,0.7286821705426356,0.7355371900826446,0.006343777581125698,0.010803031668073051
month,bond,equity_return < 0 and bond_return < 0,38,36,0.6578947368421053,0.7222222222222222,0.0052430780622393924,0.004766183277534583
quarter,equity,equity_return < 0,26,25,0.9230769230769231,0.68,0.09791497033131402,0.08308555593979422
quarter,equity,bond_return < 0,37,36,0.2702702702702703,0.3333333333333333,-0.03593910394544064,-0.023466911369951653
quarter,equity,equity_return < 0 and bond_return < 0,11,11,0.8181818181818182,0.6363636363636364,0.020448302697876453,0.056520968759773964
quarter,bond,equity_return < 0,26,25,0.38461538461538464,0.36,-0.011719130445483505,-0.011314607211637902
quarter,bond,bond_return < 0,37,36,0.6756756756756757,0.8055555555555556,0.00863672372816926,0.02691471932892147
quarter,bond,equity_return < 0 and bond_return < 0,11,11,0.6363636363636364,0.6363636363636364,0.0025659843803442772,0.029535912375849193
year,equity,equity_return < 0,4,4,1.0,0.75,0.24123066583532426,0.21608430477094298
year,equity,bond_return < 0,4,4,0.25,0.5,-0.16665124805955878,-0.12308378076245674
year,equity,equity_return < 0 and bond_return < 0,1,1,1.0,1.0,0.20907574600627266,0.20907574600627266
year,bond,equity_return < 0,4,4,0.25,0.25,-0.05823258304684925,-0.022712576530694528
year,bond,bond_return < 0,4,4,0.75,0.75,0.09550218059685528,0.1032858309186116
year,bond,equity_return < 0 and bond_return < 0,1,1,1.0,1.0,0.152593363732633,0.152593363732633
