horizon,regime,condition,n_windows,avg_eq_bond_corr,median_eq_bond_corr,avg_equity_return,avg_bond_return,avg_trend_return,avg_60_40_return,median_trend_return,median_60_40_return,trend_win_rate_vs_60_40,avg_active_return_t_minus_6040,median_active_return_t_minus_6040,avg_trend_vol,avg_60_40_vol,avg_trend_sharpe,avg_60_40_sharpe,avg_sharpe_spread_t_minus_6040,avg_trend_max_dd,avg_60_40_max_dd,worst_trend_max_dd,worst_60_40_max_dd,avg_drawdown_advantage_t_minus_6040,worst_drawdown_advantage_t_minus_6040
month,Positive stock-bond corr stress,positive corr and 60/40_return < 0,23,0.2859103796667053,0.29953090884479366,-0.031671830300945135,-0.014366015032251864,-0.012180452005627215,-0.024627633308286954,-0.009244406043014575,-0.020311115654147116,0.6956521739130435,0.012447181302659741,0.010762098275429177,0.0659400742902051,0.10195905072878161,-2.2962323813380356,-2.7006281783671464,0.46499693836911254,-0.024052867205709153,-0.03962819776294948,-0.08098251853337524,-0.08698978568387794,0.015575330557240325,-0.05161256009997994
month,Positive stock-bond corr stress,positive corr and equity_return < 0,22,0.27213455988397334,0.27581329865197635,-0.03495692016088001,-0.011110410429813892,-0.011455437371180821,-0.02529115419746183,-0.008081749654880899,-0.021231718928635845,0.7272727272727273,0.013835716826281012,0.012621633992111525,0.06651095449689993,0.10176778856115408,-2.2231955177271274,-2.767428747849263,0.6109011195965243,-0.024936186064061283,-0.04038296294050023,-0.08098251853337524,-0.08698978568387794,0.015446776876438946,-0.05161256009997994
month,Positive stock-bond corr stress,positive corr and bond_return < 0,43,0.257020907574061,0.25921434159533335,0.0013337708291556165,-0.011617765977401724,0.0012464212619479505,-0.003837346912179154,-0.0003802281368820992,0.0031475300003225293,0.5581395348837209,0.005083768174127104,0.0011546396689101623,0.06500658607335263,0.08819326210264496,-0.41947616989433334,0.12380793370622745,-0.4041157218513981,-0.019231709788117685,-0.027222667190458117,-0.053276132518885966,-0.08698978568387794,0.007990957402340437,-0.03571615112849291
month,Positive stock-bond corr stress,positive corr and equity_return < 0 and bond_return < 0,18,0.27886333686234305,0.27581329865197635,-0.039015923329616335,-0.01602828318413149,-0.01314630803974529,-0.029676636156721652,-0.012405042761402085,-0.024226200883294913,0.7777777777777778,0.016530328116976363,0.014652905558202478,0.06135850238339494,0.10707128495475189,-2.5943933507525943,-3.224669985801049,0.7395276301610404,-0.022669926044087112,-0.04441661723580124,-0.053276132518885966,-0.08698978568387794,0.02174669119171413,-0.006125662015196598
quarter,Positive stock-bond corr stress,positive corr and 60/40_return < 0,7,0.22490616416431952,0.21989727733369985,-0.043513507834308914,-0.02123848970838787,-0.013893620533363784,-0.034206545123834746,-0.03268978596210925,-0.025845537508576655,0.7142857142857143,0.02031292459047096,0.0038326118321052594,0.08916628764515001,0.09818980769159362,-1.1111855615354365,-1.1252377264011615,0.014052164865724835,-0.05664208957260502,-0.06939433309082398,-0.12716643680662365,-0.13832665001712996,0.012752243518218956,-0.08623174329776628
quarter,Positive stock-bond corr stress,positive corr and equity_return < 0,6,0.22721982652341277,0.23151683224493974,-0.05363472582729487,-0.019508988480449,-0.010421126938910322,-0.03953476291490957,-0.022487938407736385,-0.02871958665006019,0.8333333333333334,0.029113635975999252,0.011570078385142735,0.09424541242109497,0.10253635906056074,-0.912183538964212,-1.2986306756651187,0.38644713670090675,-0.06048950885936333,-0.07381807711932496,-0.12716643680662365,-0.13832665001712996,0.01332856825996163,-0.08623174329776628
quarter,Positive stock-bond corr stress,positive corr and bond_return < 0,13,0.15884949324258563,0.16351926902303335,0.0023218850632638153,-0.01934937073867946,-0.00764207961597538,-0.0062540474105214645,-0.012286090853363518,-0.002237238377385764,0.46153846153846156,-0.0013880322054539151,-0.012080101958392264,0.07613745352906254,0.08557816384211275,-0.6516908290490142,0.09407332705894358,-0.7457641561079579,-0.04257785282153247,-0.047858270492230966,-0.12716643680662365,-0.13832665001712996,0.0052804176706984915,-0.08623174329776628
quarter,Positive stock-bond corr stress,positive corr and equity_return < 0 and bond_return < 0,6,0.22721982652341277,0.23151683224493974,-0.05363472582729487,-0.019508988480449,-0.010421126938910322,-0.03953476291490957,-0.022487938407736385,-0.02871958665006019,0.8333333333333334,0.029113635975999252,0.011570078385142735,0.09424541242109497,0.10253635906056074,-0.912183538964212,-1.2986306756651187,0.38644713670090675,-0.06048950885936333,-0.07381807711932496,-0.12716643680662365,-0.13832665001712996,0.01332856825996163,-0.08623174329776628
year,Positive stock-bond corr stress,positive corr and 60/40_return < 0,1,0.1605180130312598,0.1605180130312598,-0.18110887480348348,-0.12462649252984381,0.02796687120278918,-0.1531181579192641,0.02796687120278918,-0.1531181579192641,1.0,0.18108502912205326,0.18108502912205326,0.07984245024187708,0.1497341283645572,0.3746803823231784,-1.0008586183461938,1.3755390006693722,-0.11297932634335539,-0.19667829639582213,-0.11297932634335539,-0.19667829639582213,0.08369897005246674,0.08369897005246674
year,Positive stock-bond corr stress,positive corr and equity_return < 0,1,0.1605180130312598,0.1605180130312598,-0.18110887480348348,-0.12462649252984381,0.02796687120278918,-0.1531181579192641,0.02796687120278918,-0.1531181579192641,1.0,0.18108502912205326,0.18108502912205326,0.07984245024187708,0.1497341283645572,0.3746803823231784,-1.0008586183461938,1.3755390006693722,-0.11297932634335539,-0.19667829639582213,-0.11297932634335539,-0.19667829639582213,0.08369897005246674,0.08369897005246674
year,Positive stock-bond corr stress,positive corr and bond_return < 0,1,0.1605180130312598,0.1605180130312598,-0.18110887480348348,-0.12462649252984381,0.02796687120278918,-0.1531181579192641,0.02796687120278918,-0.1531181579192641,1.0,0.18108502912205326,0.18108502912205326,0.07984245024187708,0.1497341283645572,0.3746803823231784,-1.0008586183461938,1.3755390006693722,-0.11297932634335539,-0.19667829639582213,-0.11297932634335539,-0.19667829639582213,0.08369897005246674,0.08369897005246674
