asset,entry_date,exit_date,holding_days,trade_return_unweighted,win
BRL,2002-03-29,2002-05-09,29,-0.023330017748132925,False
BRL,2002-11-29,2003-02-14,55,-0.02741540013725985,False
BRL,2003-03-24,2003-08-05,96,0.191475084808713,True
BRL,2003-09-23,2003-11-25,45,0.024852678505683734,True
BRL,2004-01-09,2004-02-18,28,-0.008281930852732322,False
BRL,2004-04-15,2004-05-04,13,-0.01557863215582267,False
BRL,2004-07-16,2005-03-18,175,0.21268357965336016,True
BRL,2005-04-20,2005-09-08,101,0.172555447146733,True
BRL,2005-09-16,2005-12-20,67,0.003059765085788646,True
BRL,2006-02-06,2006-05-25,78,-0.04739623737957033,False
BRL,2006-07-21,2006-10-03,52,0.03642539817444401,True
BRL,2006-10-23,2006-12-04,30,-0.0023760635277850772,False
BRL,2006-12-27,2007-08-20,168,0.09435729206523114,True
BRL,2007-09-26,2007-12-19,60,0.038724764312266347,True
BRL,2008-01-15,2008-08-28,162,0.12116197837664022,True
BRL,2009-01-23,2009-03-06,30,-0.006315977403589357,False
BRL,2009-03-30,2009-12-21,190,0.3543529040895794,True
BRL,2010-03-17,2010-05-21,47,-0.04944682534101508,False
BRL,2010-07-07,2010-11-22,98,0.0688055995858039,True
BRL,2010-12-28,2011-08-22,169,0.10539928603257098,True
BRL,2012-01-26,2012-03-26,42,-0.014233789224224247,False
BRL,2012-08-09,2012-09-21,31,0.009171830879743492,True
BRL,2012-09-28,2012-10-15,11,-0.0007532899118105618,False
BRL,2013-01-10,2013-04-05,61,0.022109445058304145,True
BRL,2013-09-25,2013-11-20,40,-0.012982414691459221,False
BRL,2014-03-06,2014-06-18,74,0.06811343229862588,True
BRL,2014-07-03,2014-08-04,22,-0.008005153399362697,False
BRL,2015-05-06,2015-06-11,26,-0.0006740160215683577,False
BRL,2015-11-18,2015-12-24,26,-0.03072248613976214,False
BRL,2016-03-02,2016-09-20,144,0.2944107283041535,True
BRL,2016-10-14,2016-11-17,24,-0.05102713206903986,False
BRL,2017-01-09,2017-04-18,71,0.060690659647985035,True
BRL,2017-07-25,2017-10-10,55,0.003393969363009175,True
BRL,2018-01-18,2018-03-02,31,-0.0034320189524462696,False
BRL,2018-03-13,2018-03-15,2,-0.0002096849183892413,False
BRL,2018-08-10,2018-08-22,8,-0.04726715198778786,False
BRL,2018-10-16,2018-12-13,42,-0.025595125794508844,False
BRL,2019-01-17,2019-03-14,40,-0.02030777993632893,False
BRL,2019-06-19,2019-08-16,42,-0.03420816284417838,False
BRL,2019-10-31,2019-11-26,18,-0.04495672873828316,False
BRL,2019-12-30,2020-01-30,23,-0.03536906491299985,False
BRL,2020-06-12,2020-08-18,47,-0.079139630855664,False
BRL,2020-09-25,2020-09-28,1,0.002086218710364074,True
BRL,2020-11-26,2021-01-26,43,-0.022895352365011612,False
BRL,2021-05-04,2021-07-29,62,0.05314378604139014,True
BRL,2022-01-21,2022-05-16,81,0.09513731957497362,True
BRL,2022-06-10,2022-06-14,2,-0.043258862682337695,False
BRL,2022-08-24,2022-10-04,29,-0.007842610396917027,False
BRL,2022-10-06,2022-10-07,1,0.010356584054917573,True
BRL,2022-12-22,2023-01-05,10,-0.04479643352603213,False
BRL,2023-01-13,2023-03-20,46,-0.015014318896643508,False
BRL,2023-04-12,2023-08-22,94,0.027088696663474243,True
BRL,2023-11-14,2024-01-26,53,0.0071924692996567785,True
BRL,2024-10-01,2024-10-24,17,-0.047086516555928215,False
BRL,2025-02-04,2025-04-21,54,0.007743546677335678,True
BRL,2025-05-07,2025-11-03,128,0.10879573053603453,True
BRL,2025-11-11,2025-12-11,22,-0.022006201491859168,False
BRL,2026-01-26,2026-04-20,61,0.07995035051623844,True
AUD,2002-03-29,2002-07-25,84,0.018820255200719282,True
AUD,2002-09-23,2003-08-01,224,0.22084646444751121,True
AUD,2003-09-26,2004-03-16,122,0.10529186655068412,True
AUD,2004-07-16,2004-09-09,39,-0.029809542181740034,False
AUD,2004-10-08,2005-01-24,76,0.06643801203769217,True
AUD,2005-02-15,2005-04-11,39,-0.016567917061261705,False
AUD,2005-08-11,2005-09-02,16,-0.003653823093337172,False
AUD,2005-09-07,2005-09-09,2,0.0054274180725666366,True
AUD,2005-09-15,2005-10-12,19,-0.02247548311583869,False
AUD,2006-01-19,2006-02-23,25,-0.0151686557452132,False
