Start Date,1/1/2002,,,,,
End Date,4/20/2026,,,,,
,,,,,,
,USDBRL Curncy,B1MLBRUS Index,AUDUSD Curncy,B1MLAUUS Index,BCOM Index,XAU Curncy
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/1/2002,2.3105,98.3952,0.5097,74.453,89.0333,278.95
1/2/2002,2.302,98.7305,0.5148,75.1285,89.8835,278.75
1/3/2002,2.295,99.2626,0.5155,75.0998,89.6259,278.45
1/4/2002,2.331,97.6957,0.5207,75.9644,91.4464,278.95
1/7/2002,2.327,98.0359,0.5183,75.722,92.3617,278.75
1/8/2002,2.374,96.2983,0.5234,76.4831,92.0735,279.05
1/9/2002,2.375,96.3544,0.5244,76.5744,91.5343,283.95
1/10/2002,2.423,94.3686,0.5234,76.2821,91.3657,286.35
1/11/2002,2.4015,95.3774,0.5202,75.9223,91.0633,287.55
1/14/2002,2.395,95.7222,0.5183,75.561,90.1357,284.95
1/15/2002,2.375,96.6132,0.5174,75.6978,90.2616,284.65
1/16/2002,2.363,97.1167,0.5152,75.2356,91.1226,287.15
1/17/2002,2.3775,96.2395,0.5142,75.1259,89.3847,284.05
1/18/2002,2.365,97.2223,0.5145,75.1266,88.738,283.55
1/21/2002,2.373,96.8869,0.5171,75.497,88.738,282.55
1/22/2002,2.38,96.6626,0.5195,75.853,88.1517,282
1/23/2002,2.378,96.5143,0.5181,75.9021,88.5731,279.25
1/24/2002,2.396,96.3018,0.5197,75.9077,88.9181,278.98
1/25/2002,2.407,95.7376,0.5168,75.5047,89.0317,279.45
1/28/2002,2.424,95.2486,0.5158,75.4464,88.0914,278.65
1/29/2002,2.437,94.7719,0.5087,74.7941,87.8658,281.85
1/30/2002,2.4325,95.0022,0.5069,73.9809,87.3661,281.9
1/31/2002,2.413,95.9078,0.5077,74.1273,88.3089,282.55
2/1/2002,2.42,96.2293,0.5096,74.4834,89.5971,286.25
2/4/2002,2.423,95.5807,0.5108,74.7508,89.2897,289.9
2/5/2002,2.42,95.8348,0.5095,74.4193,89.4815,297.55
2/6/2002,2.4355,95.3761,0.5087,74.5268,88.8816,297
2/7/2002,2.4625,94.3998,0.5095,74.132,89.0963,301.15
2/8/2002,2.4555,94.5897,0.5112,74.7512,90.0159,303.75
2/11/2002,2.4565,94.7647,0.5125,74.9611,90.9343,299.75
2/12/2002,2.4565,94.7525,0.5093,74.4105,90.6968,300.25
2/13/2002,2.409,96.6042,0.5103,74.4445,91.1501,299.25
2/14/2002,2.4305,95.9633,0.5161,75.6926,90.6188,300
2/15/2002,2.427,96.2018,0.5175,75.7072,90.4934,297.85
2/18/2002,2.4315,96.2145,0.5178,75.8296,90.4934,297.75
2/19/2002,2.425,96.3982,0.5188,75.9517,89.9692,293.1
2/20/2002,2.4195,96.1467,0.5172,75.7366,89.6933,291.45
2/21/2002,2.4225,96.5815,0.5171,75.6496,90.3055,292.75
2/22/2002,2.4215,96.5218,0.5128,75.0552,90.1246,292.75
2/25/2002,2.394,97.9143,0.5138,75.1188,88.8424,292.55
2/26/2002,2.395,97.8619,0.5132,75.1387,89.8239,297.75
2/27/2002,2.356,99.0521,0.5153,75.5098,90.2918,296.8
2/28/2002,2.3635,99.5879,0.5181,75.6422,90.4756,296.55
3/1/2002,2.3445,100.2626,0.5193,76.0424,91.9384,298.15
3/4/2002,2.3255,101.4017,0.5204,76.2233,92.4816,296.85
3/5/2002,2.3315,100.7265,0.5204,76.2275,93.2143,293.95
3/6/2002,2.3675,100.1271,0.5225,76.554,93.7302,293.5
3/7/2002,2.3705,99.8804,0.5253,77.111,95.3168,289.55
3/8/2002,2.3515,100.6782,0.5231,76.6337,95.8259,289.75
3/11/2002,2.356,100.2767,0.5216,76.3755,97.3543,290.7
3/12/2002,2.3295,100.9313,0.5205,76.3076,97.3076,293.85
3/13/2002,2.349,100.796,0.5198,76.1955,96.7144,293.35
3/14/2002,2.344,100.6262,0.5238,76.664,97.3799,291.25
3/15/2002,2.3465,101.0138,0.5263,77.1367,97.946,290.05
3/18/2002,2.341,101.0086,0.5253,77.0537,98.9363,292.57
3/19/2002,2.343,101.1998,0.5233,76.7798,98.8288,293.2
3/20/2002,2.344,101.4494,0.5303,77.7815,97.9352,292.45
3/21/2002,2.342,101.0912,0.5301,77.8567,99.3811,293.15
3/22/2002,2.3615,100.3638,0.5306,77.8032,98.4757,297.75
3/25/2002,2.365,100.4725,0.5299,77.7499,98.2807,298.25
3/26/2002,2.3465,101.2511,0.5278,77.4907,98.5923,296.75
3/27/2002,2.323,102.255,0.5283,77.3714,99.3495,302.38
3/28/2002,2.325,102.546,0.5336,78.3305,99.5878,302.65
3/29/2002,2.325,102.546,0.5328,78.3305,99.5878,302.65
4/1/2002,2.296,102.5331,0.5341,78.3305,101.2792,303.35
4/2/2002,2.298,103.982,0.5347,78.4664,102.6169,305.85
4/3/2002,2.312,103.4665,0.5319,78.01,101.0022,302.55
4/4/2002,2.301,103.7577,0.5314,77.8069,98.8768,301
4/5/2002,2.277,103.9585,0.5306,77.8854,98.1368,300.05
4/8/2002,2.284,104.5687,0.5286,77.3173,98.1885,300.5
4/9/2002,2.277,104.7889,0.5285,77.5429,97.369,298.55
4/10/2002,2.265,105.4222,0.5315,77.9298,97.3154,301.25
4/11/2002,2.283,105.6855,0.5347,78.5755,95.597,302.6
4/12/2002,2.294,104.69,0.5344,78.4775,94.1077,302.15
4/15/2002,2.323,103.4728,0.5313,78.0572,96.151,299.85
4/16/2002,2.3145,103.8443,0.5335,78.2083,96.3768,299
4/17/2002,2.3225,103.8486,0.5383,78.9917,98.4758,302.05
4/18/2002,2.3225,103.2606,0.539,79.0518,98.3897,303.65
4/19/2002,2.3305,103.6265,0.5406,79.4241,98.5504,302.35
4/22/2002,2.34,103.0201,0.5411,79.385,98.8705,302.9
4/23/2002,2.361,102.7583,0.5386,79.2055,98.9285,303.65
4/24/2002,2.354,102.485,0.5436,79.7954,98.0406,304.05
4/25/2002,2.363,101.9644,0.5438,80.0159,97.5497,307.65
4/26/2002,2.3715,102.416,0.544,79.9628,98.0401,311.35
4/29/2002,2.364,102.2064,0.539,79.0867,98.6203,311.1
4/30/2002,2.361,102.62,0.5383,79.1511,99.4308,308.45
5/1/2002,2.361,102.5338,0.5401,79.3326,98.3742,308.75
5/2/2002,2.4065,101.4985,0.5364,78.8928,97.6139,307.85
5/3/2002,2.407,100.4554,0.5395,79.3375,98.0585,311.95
5/6/2002,2.421,99.6141,0.5403,79.3877,97.1021,312.3
5/7/2002,2.4315,100.7464,0.539,79.2449,98.0366,311.45
5/8/2002,2.437,100.1536,0.5392,79.4842,99.0844,308.15
5/9/2002,2.472,98.9078,0.5442,79.854,99.0292,309.55
5/10/2002,2.4645,98.1742,0.545,80.1837,99.6589,311.05
5/13/2002,2.5315,97.6367,0.5472,80.4394,100.5566,310.85
5/14/2002,2.507,97.7238,0.5484,80.4743,101.5761,307.65
5/15/2002,2.502,97.8757,0.5485,80.7435,99.9158,309.05
5/16/2002,2.462,97.9785,0.5485,80.8941,99.7426,309.85
5/17/2002,2.476,98.7151,0.5526,81.3412,99.5452,311.05
5/20/2002,2.4785,98.7507,0.556,81.4052,99.292,315.95
5/21/2002,2.489,98.6369,0.5564,81.8085,98.0228,316.15
5/22/2002,2.524,97.922,0.5588,82.2715,98.2812,317.95
5/23/2002,2.528,96.6699,0.5562,82.2382,98.3296,322.05
5/24/2002,2.519,96.8362,0.5568,82.0018,97.6987,320.55
5/27/2002,2.524,96.8362,0.5574,82.1115,97.6987,320.25
5/28/2002,2.527,97.1845,0.5617,82.9135,97.3553,324.25
5/29/2002,2.513,97.7786,0.5636,83.0675,98.5448,325.05
5/30/2002,2.512,97.847,0.5636,83.3528,96.4421,325.05
5/31/2002,2.513,97.5964,0.5674,83.6102,97.7548,326.55
6/3/2002,2.5345,96.4966,0.5714,84.1738,97.6474,327.65
6/4/2002,2.596,95.4223,0.5727,84.7403,98.2487,327.85
6/5/2002,2.607,94.6739,0.5736,84.3636,97.5251,321.45
6/6/2002,2.677,93.3019,0.5753,84.7444,97.3096,325.65
6/7/2002,2.6345,92.902,0.5715,84.2654,96.8192,323.95
6/10/2002,2.6355,93.7767,0.5697,83.8082,95.7056,319.05
6/11/2002,2.7085,92.7465,0.5703,83.7706,95.3878,321.05
6/12/2002,2.791,90.1755,0.5693,84.25,95.6584,319.25
6/13/2002,2.7075,92.3032,0.567,83.8421,97.2934,318.15
6/14/2002,2.715,91.2677,0.5604,82.6693,97.8441,319.35
6/17/2002,2.651,92.2896,0.5584,82.2476,98.0151,316.85
6/18/2002,2.7175,91.9858,0.5656,83.257,97.341,320.05
6/19/2002,2.707,91.6054,0.5656,83.4412,97.2635,320.85
6/20/2002,2.8015,89.6604,0.5722,84.3177,97.4747,323.95
6/21/2002,2.8305,88.5333,0.5744,84.7821,97.2445,324.65
6/24/2002,2.774,87.7561,0.571,84.5827,98.9684,322.45
6/25/2002,2.829,87.8582,0.5718,84.1759,98.9915,321.35
6/26/2002,2.8805,86.9773,0.5601,82.9881,98.7669,319.25
6/27/2002,2.831,86.5778,0.5646,83.3042,98.9185,318.25
6/28/2002,2.8175,88.7452,0.5634,83.208,99.5183,314.45
7/1/2002,2.893,87.4203,0.5626,82.9674,100.2061,315.15
7/2/2002,2.901,86.154,0.5643,83.0994,99.793,312.95
7/3/2002,2.85,86.9269,0.5602,82.708,99.5901,311.15
7/4/2002,2.8725,86.5282,0.5561,82.2394,99.5901,310.75
7/5/2002,2.8785,86.9477,0.5576,82.41,99.5901,311.55
7/8/2002,2.861,87.7281,0.5645,83.3783,98.2811,312.85
7/9/2002,2.8525,87.4339,0.5675,84.0807,99.0544,316.85
7/10/2002,2.8485,87.5343,0.5649,83.7929,99.3769,316.35
7/11/2002,2.8015,88.5024,0.557,82.6166,99.5217,316.5
7/12/2002,2.81,88.8414,0.5588,82.6371,99.6161,316.05
7/15/2002,2.8555,87.4863,0.5602,82.9254,99.6315,318.15
7/16/2002,2.877,87.5259,0.557,82.2967,100.8247,318.25
7/17/2002,2.896,86.5797,0.5517,81.5933,100.5439,317.65
7/18/2002,2.85,87.9147,0.5541,81.7166,100.7404,317.95
7/19/2002,2.869,87.3214,0.5565,82.3446,100.9846,323.95
7/22/2002,2.9025,87.1925,0.5476,81.1681,100.4002,323.15
7/23/2002,2.9225,86.2432,0.5399,80.3464,98.3487,313.25
7/24/2002,2.9435,85.4185,0.5456,79.8047,99.4544,311.25
7/25/2002,2.9955,83.6348,0.5417,80.091,98.5628,310.05
7/26/2002,3.0125,83.2695,0.5362,79.3869,97.8074,303.75
7/29/2002,3.175,80.3065,0.541,79.9855,97.0429,302.55
7/30/2002,3.3465,77.1009,0.543,80.8212,98.3455,304.75
7/31/2002,3.46,72.9955,0.5426,80.4427,98.8263,303.55
8/1/2002,3.12,78.6144,0.5392,79.9358,97.9217,304.65
8/2/2002,3.005,82.8773,0.5391,79.8684,98.3099,307.35
8/5/2002,3.165,81.7165,0.5273,78.4031,96.8605,308.15
8/6/2002,3.11,79.9247,0.5312,78.0816,97.6229,306.35
8/7/2002,3.0175,82.011,0.5364,79.4668,97.0284,314.05
8/8/2002,2.925,84.9573,0.5346,79.1014,97.1621,310.65
8/9/2002,3.02,83.3524,0.5357,79.4054,97.7519,314.55
8/12/2002,3.145,80.839,0.5395,80.0336,99.9284,314.25
8/13/2002,3.1625,78.3573,0.538,79.8921,100.3865,315.65
8/14/2002,3.195,77.8409,0.5374,79.7366,100.4937,311.65
8/15/2002,3.2075,77.8637,0.5428,80.5568,102.203,314.65
8/16/2002,3.12,78.9732,0.5461,80.9932,101.9192,313.95
8/19/2002,3.101,80.7414,0.5422,80.3473,101.9108,306.75
8/20/2002,3.0985,80.5503,0.5461,81.0957,100.9807,309.45
8/21/2002,3.081,81.0079,0.5446,80.7905,101.7203,308.05
8/22/2002,3.1395,78.7805,0.5414,80.0982,102.6306,307.05
8/23/2002,3.108,80.6524,0.5433,80.6243,102.4176,307.05
8/26/2002,3.09,81.1686,0.5445,80.6759,103.4417,309.45
8/27/2002,3.119,81.0308,0.5531,82.211,102.9746,312.75
8/28/2002,3.124,79.6148,0.5508,81.8173,102.2059,310.05
8/29/2002,3.057,79.8717,0.5522,81.8452,102.0608,313.45
8/30/2002,3.006,83.0597,0.5505,81.7412,102.5808,312.75
9/2/2002,3.06,83.0597,0.5516,81.9726,102.5808,312.25
9/3/2002,3.1,80.6905,0.5485,81.3587,101.2445,314.15
9/4/2002,3.115,79.8049,0.5456,80.8149,102.5468,314.65
9/5/2002,3.1525,79.4985,0.5428,80.5526,103.9642,319.25
9/6/2002,3.1585,78.4559,0.5478,81.3906,104.9222,320.25
9/9/2002,3.1005,80.0226,0.5477,81.3382,106.5809,321.25
9/10/2002,3.1265,79.2542,0.5485,81.2712,106.8062,317.75
9/11/2002,3.11,80.2344,0.5482,81.4705,106.8542,317.65
9/12/2002,3.1245,80.1613,0.5521,82.1433,105.8121,319.05
9/13/2002,3.1595,79.3822,0.5502,81.7935,106.3866,316.85
9/16/2002,3.215,78.2269,0.5477,81.6225,106.4011,317.45
9/17/2002,3.275,77.5136,0.5478,81.3766,106.317,318.35
9/18/2002,3.3525,75.408,0.5487,81.4726,106.9849,320.35
9/19/2002,3.454,73.4899,0.5496,81.9691,106.6623,323.35
9/20/2002,3.4025,73.1048,0.5461,81.232,106.1428,322.15
9/23/2002,3.5665,70.2127,0.5438,80.8223,106.6552,323.25
9/24/2002,3.7535,69.3173,0.544,80.963,106.365,326.15
9/25/2002,3.698,67.3772,0.5461,80.9398,105.6802,322.25
9/26/2002,3.771,66.2655,0.545,81.0344,106.0895,320.05
9/27/2002,3.8725,64.8499,0.5436,80.9071,106.4657,319.95
9/30/2002,3.7395,65.2579,0.5426,80.7798,106.2943,323.55
10/1/2002,3.599,67.7659,0.5447,80.754,106.5775,320.35
10/2/2002,3.66,71.2842,0.5439,81.1036,106.7214,323.05
10/3/2002,3.695,67.6382,0.5467,81.3078,104.2052,321.65
10/4/2002,3.61,69.5992,0.5468,81.4343,103.8998,322.25
10/7/2002,3.675,67.6673,0.5499,81.9114,104.1839,322.45
10/8/2002,3.769,66.8524,0.5465,81.4713,104.6287,318.25
10/9/2002,3.914,64.2195,0.5487,81.7007,104.4251,320.05
10/10/2002,3.9505,63.0855,0.5482,81.5345,103.4973,316.85
10/11/2002,3.81,63.3957,0.5497,81.9067,104.705,316.75
10/14/2002,3.85,63.3957,0.5468,81.4221,105.9035,317.95
10/15/2002,3.845,64.7977,0.5472,81.5193,107.0265,313.55
10/16/2002,3.9375,64.3678,0.5489,81.7788,106.775,314.55
10/17/2002,3.877,63.914,0.551,81.9781,107.3557,311.45
10/18/2002,3.8675,64.184,0.5506,82.0895,106.6468,312.85
10/21/2002,3.938,63.6786,0.5544,82.6625,105.4759,311.15
10/22/2002,3.9105,63.3253,0.5531,82.4308,104.9103,313.05
10/23/2002,3.9055,63.9703,0.5534,82.4674,105.5255,311.95
10/24/2002,3.813,64.9094,0.5546,82.8761,105.6216,311.65
10/25/2002,3.7275,65.8922,0.5557,82.8977,104.6304,313.85
10/28/2002,3.801,66.153,0.5588,83.3817,104.7516,315.65
